DedupKey,Ligand_ID,Ligand_Name,SMILES,UniProtID,QueryGene,NR_Family,Chemical_Family,PDB_ID,InChIKey
WFLQBFXZEVUXMT-UEOKTHRPSA-N,L79,"(S)-(2E)-3[4-(5,5,8,8-TETRAMETHYL-5,6,7,8-TETRAHYDRO-2-NAPHTHALENYL)TETRAHYDRO-1-BENZOFURAN-2-YL]-2-PROPENOIC ACID",CC1(CCC(c2c1ccc(c2)C3=CC=CC4C3CC(O4)C=CC(=O)O)(C)C)C,P37231,PPARG,Non-steroid,Fatty acids,1RDT,WFLQBFXZEVUXMT-UEOKTHRPSA-N
WFLQBFXZEVUXMT-UEOKTHRPSA-N,L79,"(S)-(2E)-3[4-(5,5,8,8-TETRAMETHYL-5,6,7,8-TETRAHYDRO-2-NAPHTHALENYL)TETRAHYDRO-1-BENZOFURAN-2-YL]-2-PROPENOIC ACID",CC1(CCC(c2c1ccc(c2)C3=CC=CC4C3CC(O4)C=CC(=O)O)(C)C)C,P19793,RXRA,Non-steroid,Fatty acids,1RDT,WFLQBFXZEVUXMT-UEOKTHRPSA-N
WQEPLUUGTLDZJY-UHFFFAOYSA-N,F15,PENTADECANOIC ACID,CCCCCCCCCCCCCCC(=O)O,P19793,RXRA,Non-steroid,Fatty acids,1XV9,WQEPLUUGTLDZJY-UHFFFAOYSA-N
WQEPLUUGTLDZJY-UHFFFAOYSA-N,F15,PENTADECANOIC ACID,CCCCCCCCCCCCCCC(=O)O,Q14994,NR1I3,Non-steroid,Fatty acids,1XV9,WQEPLUUGTLDZJY-UHFFFAOYSA-N
XMRPGKVKISIQBV-XWOJZHJZSA-N,CI2,"(5BETA)-PREGNANE-3,20-DIONE",CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C,P19793,RXRA,Non-steroid,Retinoids,1XV9,XMRPGKVKISIQBV-XWOJZHJZSA-N
XMRPGKVKISIQBV-XWOJZHJZSA-N,CI2,"(5BETA)-PREGNANE-3,20-DIONE",CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C,Q14994,NR1I3,Non-steroid,Synthetic / drug-like molecules,1XV9,XMRPGKVKISIQBV-XWOJZHJZSA-N
YASAKCUCGLMORW-HNNXBMFYSA-N,BRL,"2,4-THIAZOLIDIINEDIONE, 5-[[4-[2-(METHYL-2-PYRIDINYLAMINO)ETHOXY]PHENYL]METHYL]-(9CL)",CN(CCOc1ccc(cc1)CC2C(=O)NC(=O)S2)c3ccccn3,P37231,PPARG,Non-steroid,Fatty acids,1FM6,YASAKCUCGLMORW-HNNXBMFYSA-N
YASAKCUCGLMORW-HNNXBMFYSA-N,BRL,"2,4-THIAZOLIDIINEDIONE, 5-[[4-[2-(METHYL-2-PYRIDINYLAMINO)ETHOXY]PHENYL]METHYL]-(9CL)",CN(CCOc1ccc(cc1)CC2C(=O)NC(=O)S2)c3ccccn3,P19793,RXRA,Non-steroid,Retinoids,1FM6,YASAKCUCGLMORW-HNNXBMFYSA-N
YQLJDECYQDRSBI-UHFFFAOYSA-N,SRL,"[2-(3,5-DI-TERT-BUTYL-4-HYDROXY-PHENYL)-1-(DIETHOXY-PHOSPHORYL)-VINYL]-PHOSPHONIC ACID DIETHLYL ESTER",CCOP(=O)(C(=Cc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)P(=O)(OCC)OCC)OCC,P19793,RXRA,Non-steroid,Fatty acids,4J5X,YQLJDECYQDRSBI-UHFFFAOYSA-N
YQLJDECYQDRSBI-UHFFFAOYSA-N,SRL,"[2-(3,5-DI-TERT-BUTYL-4-HYDROXY-PHENYL)-1-(DIETHOXY-PHOSPHORYL)-VINYL]-PHOSPHONIC ACID DIETHLYL ESTER",CCOP(=O)(C(=Cc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)P(=O)(OCC)OCC)OCC,O75469,NR1I2,Non-steroid,Fatty acids,4J5X,YQLJDECYQDRSBI-UHFFFAOYSA-N
ZQWBOKJVVYNKTL-AUEPDCJTSA-N,CID,"6-(4-CHLOROPHENYL)IMIDAZO[2,1-B][1,3]THIAZOLE-5-CARBALDEHYDE O-(3,4-DICHLOROBENZYL)OXIME",c1cc(ccc1c2c(n3ccsc3n2)C=NOCc4ccc(c(c4)Cl)Cl)Cl,P19793,RXRA,Non-steroid,Retinoids,1XVP,ZQWBOKJVVYNKTL-AUEPDCJTSA-N
ZQWBOKJVVYNKTL-AUEPDCJTSA-N,CID,"6-(4-CHLOROPHENYL)IMIDAZO[2,1-B][1,3]THIAZOLE-5-CARBALDEHYDE O-(3,4-DICHLOROBENZYL)OXIME",c1cc(ccc1c2c(n3ccsc3n2)C=NOCc4ccc(c(c4)Cl)Cl)Cl,Q14994,NR1I3,Non-steroid,Synthetic / drug-like molecules,1XVP,ZQWBOKJVVYNKTL-AUEPDCJTSA-N
ZZCHHVUQYRMYLW-HKBQPEDESA-N,570,2-(2-BENZOYL-PHENYLAMINO)-3-{4-[2-(5-METHYL-2-PHENYL-OXAZOL-4-YL)-ETHOXY]-PHENYL}-PROPIONIC ACID,Cc1c(nc(o1)c2ccccc2)CCOc3ccc(cc3)CC(C(=O)O)Nc4ccccc4C(=O)c5ccccc5,P37231,PPARG,Non-steroid,Fatty acids,1FM9,ZZCHHVUQYRMYLW-HKBQPEDESA-N
ZZCHHVUQYRMYLW-HKBQPEDESA-N,570,2-(2-BENZOYL-PHENYLAMINO)-3-{4-[2-(5-METHYL-2-PHENYL-OXAZOL-4-YL)-ETHOXY]-PHENYL}-PROPIONIC ACID,Cc1c(nc(o1)c2ccccc2)CCOc3ccc(cc3)CC(C(=O)O)Nc4ccccc4C(=O)c5ccccc5,P19793,RXRA,Non-steroid,Fatty acids,1FM9,ZZCHHVUQYRMYLW-HKBQPEDESA-N
